Date,Open,High,Low,Close,Adj Close,Volume
2018-03-26,90.610001,94.000000,90.400002,93.779999,93.375275,56396800
2018-03-27,94.940002,95.139999,88.510002,89.470001,89.083878,56569000
2018-03-28,89.820000,91.230003,88.870003,89.389999,89.004219,52501100
2018-03-29,90.180000,92.290001,88.400002,91.269997,90.876106,45867500
2018-04-02,90.470001,90.879997,87.510002,88.519997,88.137970,48515400
2018-04-03,89.580002,90.050003,87.889999,89.709999,89.322838,37213800
2018-04-04,87.849998,92.760002,87.730003,92.330002,91.931534,35560000
2018-04-05,92.440002,93.070000,91.400002,92.379997,91.981316,29771900
2018-04-06,91.489998,92.459999,89.480003,90.230003,89.840599,38026000
2018-04-09,91.040001,93.169998,90.620003,90.769997,90.378265,31533900
2018-04-10,92.389999,93.279999,91.639999,92.879997,92.479156,26812000
2018-04-11,92.010002,93.290001,91.480003,91.860001,91.463562,24872100
2018-04-12,92.430000,94.160004,92.430000,93.580002,93.176140,26758900
2018-04-13,94.050003,94.180000,92.440002,93.080002,92.678299,23346100
2018-04-16,94.070000,94.660004,93.419998,94.169998,93.763588,20288100
2018-04-17,95.000000,96.540001,94.879997,96.070000,95.655396,26771000
2018-04-18,96.220001,96.720001,95.519997,96.440002,96.023796,21043300
2018-04-19,96.440002,97.070000,95.339996,96.110001,95.695221,23552500
2018-04-20,95.910004,96.110001,94.050003,95.000000,94.590012,31154400
2018-04-23,95.739998,96.290001,94.629997,95.349998,94.938499,22331800
2018-04-24,96.239998,96.470001,92.410004,93.120003,92.718124,34524800
2018-04-25,93.300003,93.300003,90.279999,92.309998,91.911621,33729300
2018-04-26,93.550003,95.150002,93.099998,94.260002,93.853210,42529000
2018-04-27,97.599998,97.900002,93.910004,95.820000,95.406471,48272800
2018-04-30,96.330002,96.400002,93.150002,93.519997,93.116394,41523600
2018-05-01,93.209999,95.290001,92.790001,95.000000,94.590012,31408900
2018-05-02,94.989998,95.169998,93.190002,93.510002,93.106445,27471000
2018-05-03,92.959999,94.930000,92.449997,94.070000,93.664024,31142500
2018-05-04,93.320000,95.370003,92.919998,95.160004,94.749321,22531300
2018-05-07,95.169998,96.709999,95.099998,96.220001,95.804749,24242000
2018-05-08,95.849998,96.160004,95.059998,95.809998,95.396515,23484600
2018-05-09,96.010002,96.970001,95.050003,96.940002,96.521645,27327400
2018-05-10,97.459999,97.949997,97.050003,97.910004,97.487457,22388100
2018-05-11,97.800003,97.870003,97.040001,97.699997,97.278358,16778300
2018-05-14,97.919998,98.690002,97.309998,98.029999,97.606934,19454100
2018-05-15,97.239998,97.849998,96.339996,97.320000,96.900002,24594000
2018-05-16,97.360001,97.400002,96.620003,97.150002,97.150002,17384700
2018-05-17,96.760002,97.540001,95.830002,96.180000,96.180000,17246700
2018-05-18,96.010002,96.930000,96.010002,96.360001,96.360001,17865800
2018-05-21,97.000000,98.010002,96.800003,97.599998,97.599998,18954100
